TCGA-A7-A13D-01A-13R-A12P-07	TCGA-E9-A1RH-11A-34R-A169-07
AMPD2	4054	1099
AMPD3	490	416
AMPH	58	697
AMT	6	19
AMTN	33	1
AMY1A	0	0
AMY1B	0	0
AMY1C	1	0
AMY2A	0	1
AMY2B	76	733
AMZ1	257	31
AMZ2	4301	4970
ANAPC1	2167	1331
ANAPC10	112	184
ANAPC11	5873	1867
ANAPC13	1726	3200
ANAPC15	182	147
ANAPC16	4179	7901
ANAPC2	1329	1499
ANAPC4	904	1485
ANAPC5	5616	5651
ANAPC7	1755	1512
ANG	177	723
ANGEL1	1072	1199
ANGEL2	1031	1822
ANGPT1	220	3066
ANGPT2	1987	822
ANGPT4	21	391
ANGPTL1	41	2726
ANGPTL2	5180	26732
ANGPTL3	9	1
ANGPTL4	6827	9807
ANGPTL5	0	389
ANGPTL6	13	5
ANGPTL7	1	114
ANHX	0	0
ANK1	22	100
ANK2	425	7641
ANK3	3730	994
ANKAR	114	202
ANKDD1A	159	377
ANKDD1B	6	29
ANKEF1	1400	1002
ANKFN1	43	50
ANKFY1	2714	5525
ANKH	19902	4551
ANKHD1	66	52
ANKHD1-EIF4EBP3	24	59
ANKIB1	4439	4251
ANKK1	27	23
ANKLE1	29	17
ANKLE2	5634	4389
ANKMY1	527	504
ANKMY2	697	1255
ANKRA2	155	576
ANKRD1	102	7
ANKRD10	3370	3992
ANKRD11	5477	4827
ANKRD12	1633	4214
ANKRD13A	2579	2284
ANKRD13B	522	542
ANKRD13C	1422	1788
ANKRD13D	2018	894
ANKRD16	857	200
ANKRD17	6949	7003
ANKRD18A	7	14
ANKRD18B	0	2
ANKRD2	53	11
ANKRD22	437	45
ANKRD23	40	26
ANKRD24	22	124
ANKRD26	630	664
ANKRD27	6438	2325
ANKRD28	2189	3047
ANKRD29	45	1986
ANKRD30A	0	237
ANKRD30B	0	16
ANKRD31	8	32
ANKRD33	2	1
ANKRD33B	468	775
ANKRD34A	24	71
ANKRD34B	41	3
ANKRD34C	1	12
ANKRD35	47	605
ANKRD36	173	199
ANKRD36B	109	101
